3;Grodzisk Maz. Okr�na;;;;13:45;;14:45;;15:45;;16:45;;17:45;;18:45;;19:45;;20:45;;21:45;;22:45;0:00
4;Brz�zki;;;;13:47;;14:47;;15:47;;16:47;;17:47;;18:47;;19:47;;20:47;;21:47;;22:47;0:02
6;Kazimier�wka;;;;13:50;;14:50;;15:50;;16:50;;17:50;;18:50;;19:50;;20:50;;21:50;;22:50;0:05
7;Podkowa Le�na Zachodnia;;;;13:52;;14:52;;15:52;;16:52;;17:52;;18:52;;19:52;;20:52;;21:52;;22:52;0:07
0;MILAN�WEK GRUD�W;;;13:17;>;14:17;>;15:17;>;16:17;>;17:17;>;18:17;>;19:17;>;20:17;>;21:17;>;22:17;>;>
1;Polesie;;;13:19;>;14:19;>;15:19;>;16:19;>;17:19;>;18:19;>;19:19;>;20:19;>;21:19;>;22:19;>;>
3;Podkowa Le�na Zachodnia;;;13:22;>;14:22;>;15:22;>;16:22;>;17:22;>;18:22;>;19:22;>;20:22;>;21:22;>;22:22;>;>
8;PODKOWA LE�NA G��WNA;;;13:25;13:55;14:25;14:55;15:25;15:55;16:25;16:55;17:25;17:55;18:25;18:55;19:25;19:55;20:25;20:55;21:25;21:55;22:25;22:55;0:10
9;Podkowa Le�na Wschodnia;;;13:26;13:56;14:26;14:56;15:26;15:56;16:26;16:56;17:26;17:56;18:26;18:56;19:26;19:56;20:26;20:56;21:26;21:56;22:26;22:56;0:11
11;Otr�busy;;;13:28;13:58;14:28;14:58;15:28;15:58;16:28;16:58;17:28;17:58;18:28;18:58;19:28;19:58;20:28;20:58;21:28;21:58;22:28;22:58;0:13
12;Kanie Helenowskie;;;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;0:15
13;Nowa Wie� Warszawska;;;13:32;14:02;14:32;15:02;15:32;16:02;16:32;17:02;17:32;18:02;18:32;19:02;19:32;20:02;20:32;21:02;21:32;22:02;22:32;23:02;0:17
15;KOMOR�W;;;13:36;14:06;14:36;15:06;15:36;16:06;16:36;17:06;17:36;18:06;18:36;19:06;19:36;20:06;20:36;21:06;21:36;22:06;22:36;23:06;0:31
16;Pruszk�w WKD;;;13:38;14:08;14:38;15:08;15:38;16:08;16:38;17:08;17:38;18:08;18:38;19:08;19:38;20:08;20:38;21:08;21:38;22:08;22:38;23:08;0:33
17;Tworki;;;13:40;14:10;14:40;15:10;15:40;16:10;16:40;17:10;17:40;18:10;18:40;19:10;19:40;20:10;20:40;21:10;21:40;22:10;22:40;23:10;0:35
19;Malichy;o;;13:50;14:20;14:50;15:20;15:50;16:20;16:50;17:20;17:50;18:20;18:50;19:20;19:50;20:20;20:50;21:20;21:50;22:20;22:50;23:20;0:47
20;Regu�y;;;13:52;14:22;14:52;15:22;15:52;16:22;16:52;17:22;17:52;18:22;18:52;19:22;19:52;20:22;20:52;21:22;21:52;22:22;22:52;23:22;0:49
22;Micha�owice;;;13:55;14:25;14:55;15:25;15:55;16:25;16:55;17:25;17:55;18:25;18:55;19:25;19:55;20:25;20:55;21:25;21:55;22:25;22:55;23:25;0:52
23;Opacz;;;13:57;14:27;14:57;15:27;15:57;16:27;16:57;17:27;17:57;18:27;18:57;19:27;19:57;20:27;20:57;21:27;21:57;22:27;22:57;23:27;0:54
25;W-wa Salomea;;;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30;0:57
26;W-wa Rak�w;;;14:02;14:32;15:02;15:32;16:02;16:32;17:02;17:32;18:02;18:32;19:02;19:32;20:02;20:32;21:02;21:32;22:02;22:32;23:02;23:32;0:59
27;W-wa Al. Jerozolimskie;;;14:04;14:34;15:04;15:34;16:04;16:34;17:04;17:34;18:04;18:34;19:04;19:34;20:04;20:34;21:04;21:34;22:04;22:34;23:04;23:34;1:01
29;W-wa Reduta Ordona;;;14:06;14:36;15:06;15:36;16:06;16:36;17:06;17:36;18:06;18:36;19:06;19:36;20:06;20:36;21:06;21:36;22:06;22:36;23:06;23:36;1:03
30;W-wa Zachodnia WKD;;;14:09;14:39;15:09;15:39;16:09;16:39;17:09;17:39;18:09;18:39;19:09;19:39;20:09;20:39;21:09;21:39;22:09;22:39;23:09;23:39;1:06
32;W-wa Ochota WKD;;;14:11;14:41;15:11;15:41;16:11;16:41;17:11;17:41;18:11;18:41;19:11;19:41;20:11;20:41;21:11;21:41;22:11;22:41;23:11;23:41;1:08
33;W-WA �R�DMIE�CIE WKD;;;14:13;14:43;15:13;15:43;16:13;16:43;17:13;17:43;18:13;18:43;19:13;19:43;20:13;20:43;21:13;21:43;22:13;22:43;23:13;23:43;1:10
