3;W-wa Zachodnia WKD;;;14:24;14:54;15:24;15:54;16:24;16:54;17:24;17:54;18:24;18:54;19:24;19:54;20:24;20:54;21:24;21:54;22:24;22:54;23:34;0:04;0:24
4;W-wa Reduta Ordona;;;14:26;14:56;15:26;15:56;16:26;16:56;17:26;17:56;18:26;18:56;19:26;19:56;20:26;20:56;21:26;21:56;22:26;22:56;23:36;0:06;0:26
6;W-wa Al. Jerozolimskie;;;14:28;14:58;15:28;15:58;16:28;16:58;17:28;17:58;18:28;18:58;19:28;19:58;20:28;20:58;21:28;21:58;22:28;22:58;23:38;0:08;0:28
7;W-wa Rak�w;;;14:31;15:01;15:31;16:01;16:31;17:01;17:31;18:01;18:31;19:01;19:31;20:01;20:31;21:01;21:31;22:01;22:31;23:01;23:41;0:11;0:31
8;W-wa Salomea;;;14:33;15:03;15:33;16:03;16:33;17:03;17:33;18:03;18:33;19:03;19:33;20:03;20:33;21:03;21:33;22:03;22:33;23:03;23:43;0:13;0:33
10;Opacz;;;14:35;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05;19:35;20:05;20:35;21:05;21:35;22:05;22:35;23:05;23:45;0:15;0:35
11;Micha�owice;;;14:38;15:08;15:38;16:08;16:38;17:08;17:38;18:08;18:38;19:08;19:38;20:08;20:38;21:08;21:38;22:08;22:38;23:08;23:48;0:18;0:38
13;Regu�y;;;14:40;15:10;15:40;16:10;16:40;17:10;17:40;18:10;18:40;19:10;19:40;20:10;20:40;21:10;21:40;22:10;22:40;23:10;23:50;0:20;0:40
14;Malichy;o;;14:50;15:20;15:50;16:20;16:50;17:20;17:50;18:20;18:50;19:20;19:50;20:20;20:50;21:20;21:50;22:20;22:50;23:20;23:53;0:23;0:48
16;Tworki;;;14:52;15:22;15:52;16:22;16:52;17:22;17:52;18:22;18:52;19:22;19:52;20:22;20:52;21:22;21:52;22:22;22:52;23:22;23:55;0:25;0:50
17;Pruszk�w WKD;;;14:54;15:24;15:54;16:24;16:54;17:24;17:54;18:24;18:54;19:24;19:54;20:24;20:54;21:24;21:54;22:24;22:54;23:24;23:57;0:27;0:52
18;KOMOR�W;;;14:56;15:26;15:56;16:26;16:56;17:26;17:56;18:26;18:56;19:26;19:56;20:26;20:56;21:26;21:56;22:26;22:56;23:26;23:59;0:29;0:54
20;Nowa Wie� Warszawska;;;14:59;15:29;15:59;16:29;16:59;17:29;17:59;18:29;18:59;19:29;19:59;20:29;20:59;21:29;21:59;22:29;22:59;23:29;0:02;0:32;0:57
21;Kanie Helenowskie;;;15:01;15:31;16:01;16:31;17:01;17:31;18:01;18:31;19:01;19:31;20:01;20:31;21:01;21:31;22:01;22:31;23:01;23:31;0:04;0:34;0:59
22;Otr�busy;;;15:03;15:33;16:03;16:33;17:03;17:33;18:03;18:33;19:03;19:33;20:03;20:33;21:03;21:33;22:03;22:33;23:03;23:33;0:06;0:36;1:01
24;Podkowa Le�na Wschodnia;;;15:05;15:35;16:05;16:35;17:05;17:35;18:05;18:35;19:05;19:35;20:05;20:35;21:05;21:35;22:05;22:35;23:05;23:35;0:08;0:38;1:03
25;PODKOWA LE�NA G��WNA;;;15:07;15:37;16:07;16:37;17:07;17:37;18:07;18:37;19:07;19:37;20:07;20:37;21:07;21:37;22:07;22:55;23:09;23:37;0:10;0:40;1:05
26;Podkowa Le�na Zachodnia;;;>;15:39;>;16:39;>;17:39;>;18:39;>;19:39;>;20:39;>;21:39;>;>;>;>;>;>;>
27;Polesie;;;>;15:42;>;16:42;>;17:42;>;18:42;>;19:42;>;20:42;>;21:42;>;>;>;>;>;>;>
28;MILAN�WEK GRUD�W;;;>;15:45;>;16:45;>;17:45;>;18:45;>;19:45;>;20:45;>;21:45;>;>;>;>;>;>;>
26;Podkowa Le�na Zachodnia;;;15:09;;16:09;;17:09;;18:09;;19:09;;20:09;;21:09;;22:09;22:56;23:11;23:39;0:12;0:42;1:07
27;Kazimier�wka;;;15:12;;16:12;;17:12;;18:12;;19:12;;20:12;;21:12;;22:12;22:59;23:14;23:42;0:15;0:45;1:10
29;Brz�zki;;;15:14;;16:14;;17:14;;18:14;;19:14;;20:14;;21:14;;22:14;23:01;23:16;23:44;0:17;0:47;1:12
30;Grodzisk Maz. Okr�na;;;15:16;;16:16;;17:16;;18:16;;19:16;;20:16;;21:16;;22:16;23:03;23:18;23:46;0:19;0:49;1:14
31;Grodzisk Maz. Piaskowa;;;15:18;;16:18;;17:18;;18:18;;19:18;;20:18;;21:18;;22:18;23:05;23:20;23:48;0:21;0:51;1:16
32;Grodzisk Maz. Jordanowice;;;15:20;;16:20;;17:20;;18:20;;19:20;;20:20;;21:20;;22:20;23:07;23:22;23:50;0:23;0:53;1:18
33;GRODZISK MAZ. RADO�SKA;;;15:22;;16:22;;17:22;;18:22;;19:22;;20:22;;21:22;;22:22;23:09;23:24;23:52;0:25;0:55;1:20
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;UWAGI:;;;;;;;;;;;;;;;;;;;;;;;
;"1.  W zwi�zku z remontem mostu kolejowego w Pruszkowie poci�gi kursuj� na relacjach skr�conych: do Grodziska Maz. i Milan�wka od przystanku 
     osobowego ""MALICHY""";;;;;;;;;;;;;;;;;;;;;;;
;"2.  Przystanek osobowy ""MALICHY"" jest przystankiem przesiadkowym z poci�g�w wahad�owych  w relacji WARSZAWA �R�DMIE�CIE WKD - ";;;;;;;;;;;;;;;;;;;;;;;
;     - MALICHY na poci�gi do Grodziska Maz. i Milan�wka;;;;;;;;;;;;;;;;;;;;;;;
;3.  Kolorem szarym oznaczono kursy poci�g�w wahad�owych WARSZAWA �R�DMIE�CIE WKD - MALICHY;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
